run,best_weight_lb,best_objective_lb_equiv,best_violation,best_d1_in,best_d2_in,best_d3_in,gear_deflection_in_opt,gear_deflection_in_final,required_d1_in,required_d2_in,required_d3_in
60,17.348547716385177,17.4864629550682,0.0,1.5333520104610077,1.8272271109907485,1.74492787529337,0.004998865968833595,0.004985149634368087,1.5328078231053681,1.651692543058197,1.4942084936164375
61,17.35424289352106,17.491224456790306,0.0,1.5333820995959,1.8293826471911345,1.743385975361487,0.0049987110232242605,0.0049853795265958605,1.5328078231053681,1.651692543058197,1.4942084936164375
62,17.35718564601964,17.49514523668236,0.0,1.5341134054065906,1.826724405363328,1.7461642558790618,0.004993235280006654,0.004979352112087046,1.5328078231053681,1.651692543058197,1.4942084936164375
63,17.35432128155015,17.49185190545609,0.0,1.533643260635537,1.8284462151712186,1.7442404055231049,0.004997563640233408,0.00498404908929851,1.5328078231053681,1.651692543058197,1.4942084936164375
64,17.349077528916172,17.489173035110284,0.0,1.534347993297057,1.8252716365244457,1.7465166654012907,0.0049978657761146905,0.004983785293287999,1.5328078231053681,1.651692543058197,1.4942084936164375
65,17.351817929136217,17.490093897865567,0.0,1.5337687154275588,1.827439092140218,1.7449071428314973,0.004997994840218536,0.004984305684562356,1.5328078231053681,1.651692543058197,1.4942084936164375
66,17.350186305794647,17.490280219291726,0.0,1.5344210861770102,1.8259318362008932,1.7459305540404433,0.004998513337262169,0.004984561453406405,1.5328078231053681,1.651692543058197,1.4942084936164375
67,17.350557481577155,17.487297696885392,0.0,1.5329807240647393,1.8291279200642376,1.7433901694328546,0.004999885621425093,0.004986523758454547,1.5328078231053681,1.651692543058197,1.4942084936164375
68,17.354335286267006,17.49043704582605,0.0,1.5330416762224335,1.8290166782070463,1.743961398290985,0.004996687964093239,0.004983261834043896,1.5328078231053681,1.651692543058197,1.4942084936164375
69,17.347805386225403,17.48554454088481,0.0,1.5332289433380288,1.8268508860735198,1.7452910856023787,0.004998293703477083,0.004984501297024503,1.5328078231053681,1.651692543058197,1.4942084936164375
70,17.349587637793558,17.487673052220114,0.0,1.533528382262708,1.8266041519448324,1.7456208463012786,0.004997326300463831,0.004983476778083695,1.5328078231053681,1.651692543058197,1.4942084936164375
71,17.34995980004469,17.486320339204735,0.0,1.5328580195843684,1.8264615873072159,1.7461710953021252,0.00499444252855457,0.004980525292709034,1.5328078231053681,1.651692543058197,1.4942084936164375
72,17.354142733223057,17.490189136249917,0.0,1.5330243699535007,1.828335144620064,1.7446602234416488,0.004995360698006261,0.004981793836126375,1.5328078231053681,1.651692543058197,1.4942084936164375
